annots,mix,music,sfx,speech
D:\dnr\tr\12299\annots.csv,D:\dnr\tr\12299\mix.wav,D:\dnr\tr\12299\music.wav,D:\dnr\tr\12299\sfx.wav,D:\dnr\tr\12299\speech.wav
D:\dnr\tr\1234\annots.csv,D:\dnr\tr\1234\mix.wav,D:\dnr\tr\1234\music.wav,D:\dnr\tr\1234\sfx.wav,D:\dnr\tr\1234\speech.wav
D:\dnr\tr\12378\annots.csv,D:\dnr\tr\12378\mix.wav,D:\dnr\tr\12378\music.wav,D:\dnr\tr\12378\sfx.wav,D:\dnr\tr\12378\speech.wav
D:\dnr\tr\1239\annots.csv,D:\dnr\tr\1239\mix.wav,D:\dnr\tr\1239\music.wav,D:\dnr\tr\1239\sfx.wav,D:\dnr\tr\1239\speech.wav
D:\dnr\tr\12432\annots.csv,D:\dnr\tr\12432\mix.wav,D:\dnr\tr\12432\music.wav,D:\dnr\tr\12432\sfx.wav,D:\dnr\tr\12432\speech.wav
D:\dnr\tr\12480\annots.csv,D:\dnr\tr\12480\mix.wav,D:\dnr\tr\12480\music.wav,D:\dnr\tr\12480\sfx.wav,D:\dnr\tr\12480\speech.wav
D:\dnr\tr\12531\annots.csv,D:\dnr\tr\12531\mix.wav,D:\dnr\tr\12531\music.wav,D:\dnr\tr\12531\sfx.wav,D:\dnr\tr\12531\speech.wav
D:\dnr\tr\12577\annots.csv,D:\dnr\tr\12577\mix.wav,D:\dnr\tr\12577\music.wav,D:\dnr\tr\12577\sfx.wav,D:\dnr\tr\12577\speech.wav
D:\dnr\tr\12588\annots.csv,D:\dnr\tr\12588\mix.wav,D:\dnr\tr\12588\music.wav,D:\dnr\tr\12588\sfx.wav,D:\dnr\tr\12588\speech.wav
D:\dnr\tr\12635\annots.csv,D:\dnr\tr\12635\mix.wav,D:\dnr\tr\12635\music.wav,D:\dnr\tr\12635\sfx.wav,D:\dnr\tr\12635\speech.wav
D:\dnr\tr\1267\annots.csv,D:\dnr\tr\1267\mix.wav,D:\dnr\tr\1267\music.wav,D:\dnr\tr\1267\sfx.wav,D:\dnr\tr\1267\speech.wav
D:\dnr\tr\12670\annots.csv,D:\dnr\tr\12670\mix.wav,D:\dnr\tr\12670\music.wav,D:\dnr\tr\12670\sfx.wav,D:\dnr\tr\12670\speech.wav
D:\dnr\tr\1276\annots.csv,D:\dnr\tr\1276\mix.wav,D:\dnr\tr\1276\music.wav,D:\dnr\tr\1276\sfx.wav,D:\dnr\tr\1276\speech.wav
D:\dnr\tr\128\annots.csv,D:\dnr\tr\128\mix.wav,D:\dnr\tr\128\music.wav,D:\dnr\tr\128\sfx.wav,D:\dnr\tr\128\speech.wav
D:\dnr\tr\12826\annots.csv,D:\dnr\tr\12826\mix.wav,D:\dnr\tr\12826\music.wav,D:\dnr\tr\12826\sfx.wav,D:\dnr\tr\12826\speech.wav
D:\dnr\tr\12855\annots.csv,D:\dnr\tr\12855\mix.wav,D:\dnr\tr\12855\music.wav,D:\dnr\tr\12855\sfx.wav,D:\dnr\tr\12855\speech.wav
D:\dnr\tr\12876\annots.csv,D:\dnr\tr\12876\mix.wav,D:\dnr\tr\12876\music.wav,D:\dnr\tr\12876\sfx.wav,D:\dnr\tr\12876\speech.wav
D:\dnr\tr\1292\annots.csv,D:\dnr\tr\1292\mix.wav,D:\dnr\tr\1292\music.wav,D:\dnr\tr\1292\sfx.wav,D:\dnr\tr\1292\speech.wav
D:\dnr\tr\12920\annots.csv,D:\dnr\tr\12920\mix.wav,D:\dnr\tr\12920\music.wav,D:\dnr\tr\12920\sfx.wav,D:\dnr\tr\12920\speech.wav
D:\dnr\tr\12935\annots.csv,D:\dnr\tr\12935\mix.wav,D:\dnr\tr\12935\music.wav,D:\dnr\tr\12935\sfx.wav,D:\dnr\tr\12935\speech.wav
D:\dnr\tr\12952\annots.csv,D:\dnr\tr\12952\mix.wav,D:\dnr\tr\12952\music.wav,D:\dnr\tr\12952\sfx.wav,D:\dnr\tr\12952\speech.wav
D:\dnr\tr\12964\annots.csv,D:\dnr\tr\12964\mix.wav,D:\dnr\tr\12964\music.wav,D:\dnr\tr\12964\sfx.wav,D:\dnr\tr\12964\speech.wav
D:\dnr\tr\12975\annots.csv,D:\dnr\tr\12975\mix.wav,D:\dnr\tr\12975\music.wav,D:\dnr\tr\12975\sfx.wav,D:\dnr\tr\12975\speech.wav
D:\dnr\tr\12988\annots.csv,D:\dnr\tr\12988\mix.wav,D:\dnr\tr\12988\music.wav,D:\dnr\tr\12988\sfx.wav,D:\dnr\tr\12988\speech.wav
D:\dnr\tr\12992\annots.csv,D:\dnr\tr\12992\mix.wav,D:\dnr\tr\12992\music.wav,D:\dnr\tr\12992\sfx.wav,D:\dnr\tr\12992\speech.wav
D:\dnr\tr\12995\annots.csv,D:\dnr\tr\12995\mix.wav,D:\dnr\tr\12995\music.wav,D:\dnr\tr\12995\sfx.wav,D:\dnr\tr\12995\speech.wav
D:\dnr\tr\13013\annots.csv,D:\dnr\tr\13013\mix.wav,D:\dnr\tr\13013\music.wav,D:\dnr\tr\13013\sfx.wav,D:\dnr\tr\13013\speech.wav
D:\dnr\tr\13019\annots.csv,D:\dnr\tr\13019\mix.wav,D:\dnr\tr\13019\music.wav,D:\dnr\tr\13019\sfx.wav,D:\dnr\tr\13019\speech.wav
D:\dnr\tr\13038\annots.csv,D:\dnr\tr\13038\mix.wav,D:\dnr\tr\13038\music.wav,D:\dnr\tr\13038\sfx.wav,D:\dnr\tr\13038\speech.wav
D:\dnr\tr\13087\annots.csv,D:\dnr\tr\13087\mix.wav,D:\dnr\tr\13087\music.wav,D:\dnr\tr\13087\sfx.wav,D:\dnr\tr\13087\speech.wav
D:\dnr\tr\1312\annots.csv,D:\dnr\tr\1312\mix.wav,D:\dnr\tr\1312\music.wav,D:\dnr\tr\1312\sfx.wav,D:\dnr\tr\1312\speech.wav
D:\dnr\tr\13136\annots.csv,D:\dnr\tr\13136\mix.wav,D:\dnr\tr\13136\music.wav,D:\dnr\tr\13136\sfx.wav,D:\dnr\tr\13136\speech.wav
D:\dnr\tr\13148\annots.csv,D:\dnr\tr\13148\mix.wav,D:\dnr\tr\13148\music.wav,D:\dnr\tr\13148\sfx.wav,D:\dnr\tr\13148\speech.wav
D:\dnr\tr\13167\annots.csv,D:\dnr\tr\13167\mix.wav,D:\dnr\tr\13167\music.wav,D:\dnr\tr\13167\sfx.wav,D:\dnr\tr\13167\speech.wav
D:\dnr\tr\132\annots.csv,D:\dnr\tr\132\mix.wav,D:\dnr\tr\132\music.wav,D:\dnr\tr\132\sfx.wav,D:\dnr\tr\132\speech.wav
D:\dnr\tr\1322\annots.csv,D:\dnr\tr\1322\mix.wav,D:\dnr\tr\1322\music.wav,D:\dnr\tr\1322\sfx.wav,D:\dnr\tr\1322\speech.wav
D:\dnr\tr\13240\annots.csv,D:\dnr\tr\13240\mix.wav,D:\dnr\tr\13240\music.wav,D:\dnr\tr\13240\sfx.wav,D:\dnr\tr\13240\speech.wav
D:\dnr\tr\13272\annots.csv,D:\dnr\tr\13272\mix.wav,D:\dnr\tr\13272\music.wav,D:\dnr\tr\13272\sfx.wav,D:\dnr\tr\13272\speech.wav
D:\dnr\tr\13369\annots.csv,D:\dnr\tr\13369\mix.wav,D:\dnr\tr\13369\music.wav,D:\dnr\tr\13369\sfx.wav,D:\dnr\tr\13369\speech.wav
D:\dnr\tr\13388\annots.csv,D:\dnr\tr\13388\mix.wav,D:\dnr\tr\13388\music.wav,D:\dnr\tr\13388\sfx.wav,D:\dnr\tr\13388\speech.wav
D:\dnr\tr\13430\annots.csv,D:\dnr\tr\13430\mix.wav,D:\dnr\tr\13430\music.wav,D:\dnr\tr\13430\sfx.wav,D:\dnr\tr\13430\speech.wav
D:\dnr\tr\13450\annots.csv,D:\dnr\tr\13450\mix.wav,D:\dnr\tr\13450\music.wav,D:\dnr\tr\13450\sfx.wav,D:\dnr\tr\13450\speech.wav
D:\dnr\tr\13478\annots.csv,D:\dnr\tr\13478\mix.wav,D:\dnr\tr\13478\music.wav,D:\dnr\tr\13478\sfx.wav,D:\dnr\tr\13478\speech.wav
D:\dnr\tr\13504\annots.csv,D:\dnr\tr\13504\mix.wav,D:\dnr\tr\13504\music.wav,D:\dnr\tr\13504\sfx.wav,D:\dnr\tr\13504\speech.wav
D:\dnr\tr\13537\annots.csv,D:\dnr\tr\13537\mix.wav,D:\dnr\tr\13537\music.wav,D:\dnr\tr\13537\sfx.wav,D:\dnr\tr\13537\speech.wav
D:\dnr\tr\1363\annots.csv,D:\dnr\tr\1363\mix.wav,D:\dnr\tr\1363\music.wav,D:\dnr\tr\1363\sfx.wav,D:\dnr\tr\1363\speech.wav
D:\dnr\tr\13659\annots.csv,D:\dnr\tr\13659\mix.wav,D:\dnr\tr\13659\music.wav,D:\dnr\tr\13659\sfx.wav,D:\dnr\tr\13659\speech.wav
D:\dnr\tr\13678\annots.csv,D:\dnr\tr\13678\mix.wav,D:\dnr\tr\13678\music.wav,D:\dnr\tr\13678\sfx.wav,D:\dnr\tr\13678\speech.wav
D:\dnr\tr\13703\annots.csv,D:\dnr\tr\13703\mix.wav,D:\dnr\tr\13703\music.wav,D:\dnr\tr\13703\sfx.wav,D:\dnr\tr\13703\speech.wav
D:\dnr\tr\13709\annots.csv,D:\dnr\tr\13709\mix.wav,D:\dnr\tr\13709\music.wav,D:\dnr\tr\13709\sfx.wav,D:\dnr\tr\13709\speech.wav
D:\dnr\tr\13713\annots.csv,D:\dnr\tr\13713\mix.wav,D:\dnr\tr\13713\music.wav,D:\dnr\tr\13713\sfx.wav,D:\dnr\tr\13713\speech.wav
D:\dnr\tr\13721\annots.csv,D:\dnr\tr\13721\mix.wav,D:\dnr\tr\13721\music.wav,D:\dnr\tr\13721\sfx.wav,D:\dnr\tr\13721\speech.wav
D:\dnr\tr\1390\annots.csv,D:\dnr\tr\1390\mix.wav,D:\dnr\tr\1390\music.wav,D:\dnr\tr\1390\sfx.wav,D:\dnr\tr\1390\speech.wav
D:\dnr\tr\13911\annots.csv,D:\dnr\tr\13911\mix.wav,D:\dnr\tr\13911\music.wav,D:\dnr\tr\13911\sfx.wav,D:\dnr\tr\13911\speech.wav
D:\dnr\tr\13924\annots.csv,D:\dnr\tr\13924\mix.wav,D:\dnr\tr\13924\music.wav,D:\dnr\tr\13924\sfx.wav,D:\dnr\tr\13924\speech.wav
D:\dnr\tr\13932\annots.csv,D:\dnr\tr\13932\mix.wav,D:\dnr\tr\13932\music.wav,D:\dnr\tr\13932\sfx.wav,D:\dnr\tr\13932\speech.wav
D:\dnr\tr\13982\annots.csv,D:\dnr\tr\13982\mix.wav,D:\dnr\tr\13982\music.wav,D:\dnr\tr\13982\sfx.wav,D:\dnr\tr\13982\speech.wav
D:\dnr\tr\14042\annots.csv,D:\dnr\tr\14042\mix.wav,D:\dnr\tr\14042\music.wav,D:\dnr\tr\14042\sfx.wav,D:\dnr\tr\14042\speech.wav
D:\dnr\tr\14066\annots.csv,D:\dnr\tr\14066\mix.wav,D:\dnr\tr\14066\music.wav,D:\dnr\tr\14066\sfx.wav,D:\dnr\tr\14066\speech.wav
D:\dnr\tr\14070\annots.csv,D:\dnr\tr\14070\mix.wav,D:\dnr\tr\14070\music.wav,D:\dnr\tr\14070\sfx.wav,D:\dnr\tr\14070\speech.wav
D:\dnr\tr\14090\annots.csv,D:\dnr\tr\14090\mix.wav,D:\dnr\tr\14090\music.wav,D:\dnr\tr\14090\sfx.wav,D:\dnr\tr\14090\speech.wav
D:\dnr\tr\14112\annots.csv,D:\dnr\tr\14112\mix.wav,D:\dnr\tr\14112\music.wav,D:\dnr\tr\14112\sfx.wav,D:\dnr\tr\14112\speech.wav
D:\dnr\tr\1414\annots.csv,D:\dnr\tr\1414\mix.wav,D:\dnr\tr\1414\music.wav,D:\dnr\tr\1414\sfx.wav,D:\dnr\tr\1414\speech.wav
D:\dnr\tr\14150\annots.csv,D:\dnr\tr\14150\mix.wav,D:\dnr\tr\14150\music.wav,D:\dnr\tr\14150\sfx.wav,D:\dnr\tr\14150\speech.wav
D:\dnr\tr\14157\annots.csv,D:\dnr\tr\14157\mix.wav,D:\dnr\tr\14157\music.wav,D:\dnr\tr\14157\sfx.wav,D:\dnr\tr\14157\speech.wav
D:\dnr\tr\14187\annots.csv,D:\dnr\tr\14187\mix.wav,D:\dnr\tr\14187\music.wav,D:\dnr\tr\14187\sfx.wav,D:\dnr\tr\14187\speech.wav
D:\dnr\tr\14203\annots.csv,D:\dnr\tr\14203\mix.wav,D:\dnr\tr\14203\music.wav,D:\dnr\tr\14203\sfx.wav,D:\dnr\tr\14203\speech.wav
D:\dnr\tr\14211\annots.csv,D:\dnr\tr\14211\mix.wav,D:\dnr\tr\14211\music.wav,D:\dnr\tr\14211\sfx.wav,D:\dnr\tr\14211\speech.wav
D:\dnr\tr\14228\annots.csv,D:\dnr\tr\14228\mix.wav,D:\dnr\tr\14228\music.wav,D:\dnr\tr\14228\sfx.wav,D:\dnr\tr\14228\speech.wav
D:\dnr\tr\14266\annots.csv,D:\dnr\tr\14266\mix.wav,D:\dnr\tr\14266\music.wav,D:\dnr\tr\14266\sfx.wav,D:\dnr\tr\14266\speech.wav
D:\dnr\tr\14287\annots.csv,D:\dnr\tr\14287\mix.wav,D:\dnr\tr\14287\music.wav,D:\dnr\tr\14287\sfx.wav,D:\dnr\tr\14287\speech.wav
